Name,Description,Notes / Example
company,Company of current document,Set by external layout
company_partner,Company partner of current document,Set by external layout
def_company,Default company,Set by Odoo report module
doc,Current document which is printing,Set by module. External layout set 'o' to compatibility with Odoo reports
doc_model,Document model,Deprecated: use doc_opts.model
doc_opts,Document parametes,
doc_opts.code_mode,Print code in document body,"<td t-if=""doc_opts.code_mode=='print'""><span t-esc=""l.code_2_print()""/></td>"
doc_opts.description_mode,Print code in document body,"<td><span t-esc=""l.description_2_print()""/></td>"
doc_opts.header,Add header to report,
doc_opts.model,Document model,Same as doc_model
doc_opts.paperformat_id,ID to paperformat,
doc_opts.payment_term_position,Payment data position,"May be Auto, None, on Footer or on Header - With auto, when due payment is whole in one date, all datas are printed on header otherwise  - all datas are printed on footer - Odoo print only Payment Term notes on Footer"
doc_opts.pdf_watermark,Default watermark for this report,
doc_opts.report_name,Report Name,
doc_style,Style parameteres,
doc_style.custom_header,No Header Logo,"<div t-if=""doc_style.custom_header""> .. </div>. "
doc_style.description_mode_account_invoice,`Print Description` (see below),
doc_style.description_mode_purchase_order,`Print Description` (see below),
doc_style.description_mode_sale_order,`Print Description` (see below),
doc_style.description_mode_stock_picking_package_preparation,`Print Description` (see below),
doc_style.header_account_invoice,`Header mode` (see below),
doc_style.header_purchase_order,`Header mode` (see below),
doc_style.header_sale_order,`Header mode` (see below),
doc_style.header_stock_picking_package_preparation,`Header mode` (see below),
doc_style.name,Name of Style,
doc_style.origin,`Report Identity` (see below),
doc_style.pdf_ending_page,Ending Page PDF,
doc_style.pdf_ending_page,Ending Page PDF,
doc_style.pdf_watermark,Default watermark for this style,
doc_style.pdf_watermark_account_invoice,Sale Invoice default Watermark PDF,
doc_style.pdf_watermark_purchase_order,Purchase Order default Watermark PDF,
doc_style.pdf_watermark_sale_order,Sale Order default Watermark PDF,
doc_style.pdf_watermark_stock_picking_package_preparation,Packing List default Watermark PDF,
l,Current invoice line when printing,Alias used in invoice print
o,Current invoice which is printing,Alias used in invoice print set by external layout
report,Document report class,
report.get_report_attrib,Get specific fallback value,"<div t-if=""report.get_report_attrib('custom_header',o,doc_opts)""> .. </div>. "
style,Current `Report Identity` (see below),
