id,description,chart_template_id:id,name,sequence,amount,amount_type,type_tax_use,price_include,account_id/id,refund_account_id/id,tag_ids/id,children_tax_ids/id
22v,22v,l10n_chart_it_zeroincombenze,IVA 22% su vendite,1,22,percent,sale,False,260010,260010,tag_01,
22a,22a,l10n_chart_it_zeroincombenze,IVA 22% da acquisti,1,22,percent,purchase,False,153010,153010,tag_02,
10v,10v,l10n_chart_it_zeroincombenze,IVA 10% su vendite,3,10,percent,sale,False,260010,260010,tag_03,
10a,10a,l10n_chart_it_zeroincombenze,IVA 10% da acquisti,3,10,percent,purchase,False,153010,153010,tag_04,
4v,4v,l10n_chart_it_zeroincombenze,IVA 4% su vendite,6,4,percent,sale,False,260010,260010,tag_05,
4a,4a,l10n_chart_it_zeroincombenze,IVA 4% da acquisti,6,4,percent,purchase,False,153010,153010,tag_06,
a17a,a17a,l10n_chart_it_zeroincombenze,Acq.FC IVA Art.17 DPR633,21,,percent,purchase,False,,,tag_07,
a17v,a17v,l10n_chart_it_zeroincombenze,Vend.FC IVA Art.17 DPR633,22,,percent,sale,False,,,tag_08,
a17c2a,a17c2a,l10n_chart_it_zeroincombenze,N.I. art.17 c.2 DPR633,23,22,percent,purchase,False,153050,153050,tag_09,
a17c2v,a17c2v,l10n_chart_it_zeroincombenze,Rev. charge art.17 c.2 DPR633,24,22,percent,sale,False,260050,260050,tag_10,
a17c6a,a17c6a,l10n_chart_it_zeroincombenze,N.I. art.17 c.6 DPR633,25,22,percent,purchase,False,153050,153050,tag_11,
a17c6v,a17c6v,l10n_chart_it_zeroincombenze,Rev. charge art.17c6 DPR633,26,22,percent,sale,False,260050,260050,tag_12,
a17c6ata,a17c6ata,l10n_chart_it_zeroincombenze,N.I. Art.17 c.6 lett. A-ter DPR633,27,22,percent,purchase,False,153050,153050,tag_13,
a17c6atv,a17c6atv,l10n_chart_it_zeroincombenze,Rev. Charge Art.17 c.6 lett. A-ter DPR633,28,22,percent,sale,False,260050,260050,tag_14,
a17c6ba,a17c6ba,l10n_chart_it_zeroincombenze,N.I. art.17 c.6 lett. B DPR633 (Cellulari),29,22,percent,purchase,False,153050,153050,tag_15,
a17c6bv,a17c6bv,l10n_chart_it_zeroincombenze,Rev. Charge art.17 c.6 lett. B DPR633 (Cellulari),30,22,percent,sale,False,260050,260050,tag_16,
a17c6ca,a17c6ca,l10n_chart_it_zeroincombenze,N.I. Art.17 c.6 lett. C DPR633 (Elettronici),31,22,percent,purchase,False,153050,153050,tag_17,
a17c6cv,a17c6cv,l10n_chart_it_zeroincombenze,Rev. Charge Art.17 c.6 lett. C DPR633 (Elettronici),32,22,percent,sale,False,260050,260050,tag_18,
a38a,a38a,l10n_chart_it_zeroincombenze,N.I. art.38 L.427/93,33,22,percent,purchase,False,153050,153050,tag_19,
a38v,a38v,l10n_chart_it_zeroincombenze,Rev. charge art.38 L.427/93,34,22,percent,sale,False,260050,260050,tag_20,
a41a,a41a,l10n_chart_it_zeroincombenze,Acq.N.I. art.41 L.427/93,36,,percent,purchase,False,,,tag_21,
a41v,a41v,l10n_chart_it_zeroincombenze,Vend.N.I. art.41 L.427/93,36,,percent,sale,False,,,tag_22,
a7a,a7a,l10n_chart_it_zeroincombenze,Acq.N.I. art.7 DPR633,41,,percent,purchase,False,,,tag_26,
a7v,a7v,l10n_chart_it_zeroincombenze,Vend.N.I. art.7 DPR633,42,,percent,sale,False,,,tag_27,
a7ta,a7ta,l10n_chart_it_zeroincombenze,Acq.NI art.7ter DPR633 (servizi xUE),43,,percent,purchase,False,,,tag_28,
a7tv,a7tv,l10n_chart_it_zeroincombenze,Vend.NI art.7ter DPR633 (servizi xUE),44,,percent,sale,False,,,tag_29,
a8aa,a8aa,l10n_chart_it_zeroincombenze,Acq.N.I. art.8a DPR633 (Dogana),45,,percent,purchase,False,,,tag_30,
a8av,a8av,l10n_chart_it_zeroincombenze,Vend.N.I. art.8a DPR633 (Dogana),46,,percent,sale,False,,,tag_31,
